grammar	grammar      usage    meaning   ex1_ja  ex1_en    ex2_ja  ex2_en                     Note:  note
～や～や	～や～や         Like ～ and/or ～.  Indicates a list.   いつも朝あさにりんごやオレンジを食たべます。  I always eat things like apples and oranges in the morning.    トムはパソコンやエアコンの電気でんき製品せいひんが好すきです。  Tom likes electronics like computers and air conditioners.
～んです ～のです	～んです ～のです         Indicates an explanation or implies a request.   明日あした映画えいがを見みに行いきませんか？ごめん、明日あしたは仕事しごとが忙いそがしいんです。  Won’t you go see a movie tomorrow? Sorry, I’m busy with work tomorrow.    黒くろい靴くつを探さがしているんですが。  I am looking for black shoes. (This is something you might say at a store. You are implying the question of do you sell black shoes? / where are the black shoes?)
～すぎる	～すぎる         Too ～   ズボンが大おおきすぎるからベルトがないと落おちます。  These pants are too big so they will fall down without a belt.    今夜こんやのパーティでお酒さけを飲のみすぎないでね。  Don’t drink too much alcohol at tonight’s party.
～た方ほうがいい	～た方ほうがいい      V-た方がいい    It is better to ～ You should ～   明日あした忙いそがしいから今日きょう買かい物ものした方ほうが良いいよ。  We’re busy tomorrow, so it’s better if you do your shopping today.    大事だいじな発表はっぴょうなので、練習れんしゅうした方ほうがいいですね。  You should practice because it is an important presentation.     この問題もんだいは早はやく解決かいけつした方ほうがいい。  It is better to solve this problem quickly.     外そとで運動うんどうした方ほうがいいですよ。  You should exercise outside.     この薬くすりをもっと続つづけた方ほうがいい。  It is better to continue taking this medicine.     昨日きのうのレポートを今日中きょうじゅうに提出ていしゅつした方ほうがいい。  You should submit yesterday’s report by today.     もっと野菜やさいを食たべた方ほうがいいです。  You should eat more vegetables.     電話でんわの前まえにメモを準備じゅんびした方ほうがいい。  It is better to prepare a memo before the call.     ここでタバコを吸すわない方ほうがいい。  It is better not to smoke here.     パーティーに行いく前まえに、ドレスを直なおした方ほうがいい。  You should fix your dress before going to the party.
～から～	～から～         Because ～, ～.  ～, so ～   さっき食たべたから、あまりお腹なかが空すいていない。  I just ate, so I’m not really hungry now.                      Note:  Similar to ～ので～
～ので～	～ので～         Because ～, ～.  ～, so ～   アマゾンの方ほうが安やすいので、注文ちゅうもんしましょう。  Amazon is cheaper, so let’s order it.    今日きょうは雨あめなので、傘かさを忘わすれないでね。  Today is rain, so don’t forget your umbrella.                     Note:  Similar to ～から～
～なくちゃいけない	～なくちゃいけない         You must ～   テレビを見みる前まえに宿題しゅくだいをやらなくちゃいけない。  You must do homework before you watch TV.    野菜やさいも食たべなくちゃいけない。  You must also eat vegetables.     明日あしたまでに宿題しゅくだいを終おわらなくちゃいけない。  I have to finish the homework by tomorrow.     早はやく寝ねなくちゃいけないよ。  You have to go to bed early.     毎日まいにち薬くすりを飲のまなくちゃいけない。  I have to take my medicine every day.     ここで靴くつを脱ぬがなくちゃいけない。  You have to take off your shoes here.     この書類しょるいにサインをしなくちゃいけない。  I have to sign this document.     学校がっこうへ行いく前まえに朝あさご飯はんを食たべなくちゃいけない。  I have to eat breakfast before going to school.     雨あめだから傘かさを持もっていかなくちゃいけない。  I have to take an umbrella because it's raining.     パスポートを更新こうしんしなくちゃいけない。  I have to renew my passport.
～でしょう	～でしょう         Probably ～ As a question: Won’t you?  Isn’t it? (often rhetorical)   これは美味おいしいでしょう？  This is delicious, isn’t it?                      Note:  Fun note: weather forecasts always use でしょう to convey that they aren’t certain
～前まえに	～前まえに         Before ～   食たべる前まえに手てを洗あらってください。  Please wash your hands before you eat.
～た後あとで	～た後あとで      V-た後で    After ～   運動うんどうした後あとでシャワーします。  I will shower after exercising.    昼ひるご飯はんを食たべた後あとで行いきましょう。  Let’s go after eating lunch.
～てから	～てから      V-てから    After ～.  Usually this means “right/just after”.   肉にくを焼やいてから野菜やさいを入いれてください。  Put the vegetables in after cooking the meat.    食たべてから走はしらない方ほうが良いいですよ。  You should not run just after eating.
～のです	～のです         Indicates possession or a modifying phrase.   この本ほんは私わたしのです。  This book is mine.    あのスーツはイタリアのです。  That suit is Italian.
～ました	～ました         Verb past tense form   昨日きのうサッカー試合しあいを見みました。  I watched the soccer game yesterday.    今朝けさ8時じに起おきました。  I woke up at 8 this morning.
もう～ました	もう～ました         I already ～   あの映画えいがを先週せんしゅうにもう見みました。  I already saw that movie last week.    もう食たべましたか？  Have you already eaten?
～にする ～くする	～にする ～くする      na-adjにする i-adjくする    To (purposefully) make it ～   この部屋へやが暗くらいので、電気でんきを明あかるくしてください。  This room is dark so please make the lights brighter.    いつもラーメンを食たべているから今日きょうはうどんにする。  I am always eating ramen, so today I will have udon.     窓まどを開あけて部屋へやを涼すずしくする。   I’ll open the window to make the room cooler.     彼かれの提案ていあんを受うけ入いれて会議かいぎを早はやくする。   We’ll accept his suggestion and make the meeting earlier.     音楽おんがくを静しずかにしてください。  Please make the music quieter.     髪かみを短みじかくしたい。  I want to make my hair shorter.     その問題もんだいを簡単かんたんにする方法ほうほうを見みつけた。  I found a way to make that problem easier.     料理りょうりを ヘルシーにするために油あぶらを減へらす。  I’ll reduce the oil to make the dish healthier.     今日はお茶ちゃにします。  I’ll have tea today.     この服ふくをもっとカジュアルにする。  I’ll make this outfit more casual.
～ながら	～ながら      V-Stemながら    While ～.  Used when two actions occur at the same time.   音楽おんがくを聞ききながら日本語にほんごを勉強べんきょうします。  I study Japanese while listening to music.    ジョンはアイスクリームを食たべながら歩あるいています。  Jon is walking while eating ice cream.
誰だれか 何なにか どこか いつか	誰だれか 何なにか どこか いつか         Someone Something Somewhere Sometime   授業じゅぎょうの後あとどこかに行いくつもりですか？  Do you intend to go somewhere after class?    何なにかを食たべましたか？  Did you eat something?
何なにも 誰だれも	何なにも 誰だれも         Nothing No one; nobody   あの箱はこに何なにもないよ。  There is nothing in that box.    まだ早はやいから誰だれも来きていないです。  It is still early, so no one has come yet.
どこにも	どこにも         Nowhere; not anywhere   授業じゅぎょうの後あとどこにも行いかないです。  I will not go anywhere after class.    探さがしましたが、私わたしの鞄かばんはどこにもありません。  I searched, but my bag was nowhere
～ですね？	～ですね？         ～, right? ～ isn’t it?  Used to confirm something.   明日あしたの授業じゅぎょうは9時じからですね？  Tomorrow’s class is from 9, right?    あの店みせに美味おいしい日本にっぽん料理りょうりがありますね？  There is delicious Japanese food at that restaurant, right?
